USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Anarchy Bats,ASPMCA26A,BUSCH APPLE,5/6/2026
,Anarchy Bats,ASPMCA26AH,BUSCH APPLE HEAVY,5/6/2026
,Anarchy Bats,ASPMCQ1PC25A,MCQUADES 1PC,7/30/2025
,Anarchy Bats,ASPMCQ25A,MCQUADES 12�,4/4/2025
,Anarchy Bats,ASPMCQL26A,BUSCH LIME,5/6/2026
,Anarchy Bats,ASPMCQL26AH,BUSCH LIME HEAVY,5/6/2026
,Anarchy Bats,ASPMELS26A,SHIMELS ASSASSIN WHITE,5/6/2026
,Anarchy Bats,ASPMEM25A,MEMENTO MORI,7/30/2025
,Anarchy Bats,ASPMIN25A,MINOTAUR,4/4/2025
,Anarchy Bats,ASPMM25A,MAGIC MIKE XXL,2/18/2025
,Anarchy Bats,ASPMOAB26A,M.O.A.B,4/10/2026
,Anarchy Bats,ASPMOST24A,MOST,7/27/2024
,Anarchy Bats,ASPMOST2SA,MOST,7/30/2025
,Anarchy Bats,ASPMTN26A,MOUNTAIN DAWE,5/6/2026
,Anarchy Bats,ASPNEO25A,DOUBLE DIP NEON,2/18/2025
,Anarchy Bats,ASPNIC25A,SNICKERS,1/27/2026
,Anarchy Bats,ASPNUT25A,DOUBLE DIP PB,4/4/2025
,Anarchy Bats,ASPOLE25A,OL'RELIABLE,2/18/2025
,Anarchy Bats,ASPPAC25A,RETRO MAN,4/4/2025
,Anarchy Bats,ASPPAS25A,PASIFIKA,7/30/2025
,Anarchy Bats,ASPPIT24A,PITBULL,10/22/2024
,Anarchy Bats,ASPPOS25A,POSEIDON,2/18/2025
,Anarchy Bats,ASPPX24A,PINEAPPLE EXPRESS,10/22/2024
,Anarchy Bats,ASPQUA25A,"MCQUADES 13""",4/4/2025
,Anarchy Bats,ASPREAWA24A,REAWAKENING,10/22/2024
,Anarchy Bats,ASPREB24A,REBELLION,10/22/2024
,Anarchy Bats,ASPROSA25A,ROSA REAPER,1/27/2026
,Anarchy Bats,ASPRTS25A,RELENTLESS,1/27/2026
,Anarchy Bats,ASPSAD25A-1,DAWE WHITEOUT,4/4/2025
,Anarchy Bats,ASPSAD26A,SHOCK AND DAWE 26,1/27/2026
,Anarchy Bats,ASPSALV26A,SALVATION,1/27/2026
