USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Monsta Athletics,21SPSKDA2T,Skud,9/15/2021
,Monsta Athletics,21SPSWA2D,Splittin Wigs,11/5/2021
,Monsta Athletics,21SPTA2,Torch,7/12/2021
,Monsta Athletics,21SPTEMPA1S,Temptress,6/10/2021
,Monsta Athletics,21SPTEMPA2BS,Temptress,6/10/2021
,Monsta Athletics,21SPTEMPA2T,Temptress,6/10/2021
,Monsta Athletics,21SPTIIOA2T,Tiyospaye,9/15/2021
,Monsta Athletics,21SPTIOA1S,Tiyospaye,9/15/2021
,Monsta Athletics,21SPTIOA2BS,Tiyospaye,9/15/2021
,Monsta Athletics,21SPTOMA1S,Tomahawk,11/5/2021
,Monsta Athletics,21SPTOMA2BS,Tomahawk,11/5/2021
,Monsta Athletics,21SPUNIMSA2T,Magic Stick,9/15/2021
,Monsta Athletics,21SPVALRA2BS,Valhalla,3/31/2021
,Monsta Athletics,21SPVALTA2F,Valhalla,3/31/2021
,Monsta Athletics,21SPVALTA2T,Valhalla,3/31/2021
,Monsta Athletics,21SPWAYA1S,Waymaker,3/31/2021
,Monsta Athletics,21SPWAYA2T,Waymaker,3/31/2021
,Monsta Athletics,22FPH24A2,22 FAST PITCH HYPE,1/28/2022
,Monsta Athletics,22S[ACA2BS,22 AGENT OF CHAOS,4/15/2022
,Monsta Athletics,22SP888A1S,22 888,7/1/2022
,Monsta Athletics,22SP888A2BS,22 888,7/1/2022
,Monsta Athletics,22SP888A2F,22 888,7/1/2022
,Monsta Athletics,22SP888A2T,22 888,7/1/2022
,Monsta Athletics,22SPACA1S,22 AGENT OF CHAOS,4/15/2022
,Monsta Athletics,22SPACA2F,22 AGENT OF CHAOS,4/15/2022
,Monsta Athletics,22SPACA2T,22 AGENT OF CHAOS,4/15/2022
,Monsta Athletics,22SPALA2BS,22 ALPHA,4/15/2022
,Monsta Athletics,22SPALA2F,22 ALPHA,4/15/2022
,Monsta Athletics,22SPALA2T,22 ALPHA,4/15/2022
,Monsta Athletics,22SPATRA2BS,22 All The Rage,11/25/2022
,Monsta Athletics,22SPATRA2T,22 All The Rage,11/25/2022
,Monsta Athletics,22SPAUA1S,22 SPECTRUM,4/15/2022
,Monsta Athletics,22SPAUA2BS,22 SPECTRUM,4/15/2022
,Monsta Athletics,22SPAUA2F,22 SPECTRUM,4/15/2022
,Monsta Athletics,22SPAUA2T,22 SPECTRUM,4/15/2022
,Monsta Athletics,22SPBMA1,22 Gold Boogeyman,3/4/2022
,Monsta Athletics,22SPBROA2BS,Brotherhood,9/15/2021
,Monsta Athletics,22SPBSA2,22 BLACK SHEEP,1/28/2022
,Monsta Athletics,22SPBUA2T,22 BUTTA,1/28/2022
,Monsta Athletics,22SPBWA2T,22 BLACK WIDOW,11/25/2022
,Monsta Athletics,22SPCARA1B,22 CARNAGE,4/15/2022
,Monsta Athletics,22SPCARA1S,22 CARNAGE,4/15/2022
,Monsta Athletics,22SPDBA2BS,22 DB44,4/15/2022
,Monsta Athletics,22SPDBA2DC,22 DB44,7/1/2022
,Monsta Athletics,22SPDBA2F,22 DB44,7/1/2022
,Monsta Athletics,22SPDBA2T,22 DB44,7/1/2022
,Monsta Athletics,22SPDELA2T,22 DELIVERANCE,4/15/2022
,Monsta Athletics,22SPFNDA1,22 Fiend,7/1/2022
,Monsta Athletics,22SPFNDA1S,22 Fiend,7/29/2022
,Monsta Athletics,22SPFNDA1Z,22 Fiend,7/29/2022
,Monsta Athletics,22SPFUA2T,22 Fuel,8/18/2022
,Monsta Athletics,22SPGAMA2BS,22 GAMBLER,1/28/2022
,Monsta Athletics,22SPGN2A2BS,22 Get Nutz 3,7/1/2022
,Monsta Athletics,22SPGN2A2DC,22 Get Nutz 3,7/1/2022
,Monsta Athletics,22SPGN2A2F,22 Get Nutz 3,7/1/2022
,Monsta Athletics,22SPGN2A2T,22 Get Nutz 3,7/1/2022
,Monsta Athletics,22SPGNGA2,22 Gangreen,7/1/2022
,Monsta Athletics,22SPGNGA2F,22 Gangreen,7/29/2022
,Monsta Athletics,22SPGNGA2T,22 Gangreen,7/29/2022
,Monsta Athletics,22SPGTA2BS,22 Goosetown,7/1/2022
,Monsta Athletics,22SPGTA2DC,22 Goosetown,7/1/2022
,Monsta Athletics,22SPGTA2F,22 Goosetown,7/1/2022
,Monsta Athletics,22SPGTA2T,22 Goosetown,7/1/2022
,Monsta Athletics,22SPHLA2,22 HIERARCHY,6/24/2025
,Monsta Athletics,22SPIGNA2BS,22 Ignite,8/18/2022
,Monsta Athletics,22SPINFA2TM,INFRAED,4/15/2022
,Monsta Athletics,22SPJOLA2BS,22 JOLLY 88,1/28/2022
,Monsta Athletics,22SPLMA2BS,22 LOS MUERTOS,8/18/2022
,Monsta Athletics,22SPLZRA2F,LAZER,2/15/2023
,Monsta Athletics,22SPMS1A2TM,MAGIC STICK,4/15/2022
,Monsta Athletics,22SPMS2A2TM,MAGIC STICK,4/15/2022
,Monsta Athletics,22SPNAWSA2BS,22 Chief,8/18/2022
,Monsta Athletics,22SPNAWSA2F,22 Chief,8/18/2022
,Monsta Athletics,22SPNAWSA2T,22 Chief,8/18/2022
,Monsta Athletics,22SPSA1,22 SINISTER,1/28/2022
,Monsta Athletics,22SPSALA1S,22 SALTY,1/28/2022
,Monsta Athletics,22SPSFA2T,22 SUPAFLY,4/15/2022
,Monsta Athletics,22SPTA2,22 Torch,3/4/2022
,Monsta Athletics,22SPTMA2,Torch Mutated,7/12/2021
,Monsta Athletics,22SPUDGA2T,22 UNDERDOG,4/15/2022
,Monsta Athletics,22SPWARA2BS,22 WARRIOR,4/15/2022
,Monsta Athletics,22SPWBA2BS,22 White Buffalo,10/6/2022
,Monsta Athletics,22SPWBA2F,22 White Buffalo,10/6/2022
,Monsta Athletics,22SPWBA2T,22 White Buffalo,10/6/2022
,Monsta Athletics,22SPWMDA2T,22 W.M.D.,7/1/2022
,Monsta Athletics,22SPWTA2,22 Wood Grain Torch,7/1/2022
,Monsta Athletics,22SPXPA2BS,22 XPERIENCE,1/28/2022
,Monsta Athletics,22SPXPA2F,22 XPERIENCE,1/28/2022
,Monsta Athletics,22SPXPA2T,22 XPERIENCE,1/28/2022
,Monsta Athletics,22SPZA2T,22 ZOMBIE,11/25/2022
,Monsta Athletics,23FPFUL2-10,Fulcrum FP,5/20/2023
,Monsta Athletics,23FPTA22,Torch,7/29/2022
,Monsta Athletics,23SP4TFA2BS,4 THE FALLEN,2/15/2023
,Monsta Athletics,23SP4TFA2F,4 THE FALLEN,2/15/2023
,Monsta Athletics,23SP4TFA2T,4 THE FALLEN,2/15/2023
,Monsta Athletics,23SPAAA2T,Autism Torch,5/23/2023
,Monsta Athletics,23SPBHA1S,23 Be Happy,10/22/2023
,Monsta Athletics,23SPBHA2T,23 Be Happy,10/22/2023
,Monsta Athletics,23SPBIA2F,Independence,5/23/2023
,Monsta Athletics,23SPBIA2T,Independence,5/23/2023
,Monsta Athletics,23SPBKA2T,23 Big Kahuna Torch,10/9/2023
,Monsta Athletics,23SPBLA2BS,Blacklisted,2/6/2023
,Monsta Athletics,23SPBLA2F,Blacklisted,2/6/2023
,Monsta Athletics,23SPBLA2T,Blacklisted,2/6/2023
,Monsta Athletics,23SPBMA2BS,23 BAMA,10/22/2023
,Monsta Athletics,23SPBMA2T,23 BAMA,10/22/2023
,Monsta Athletics,23SPBSA2,Black Sheep,7/12/2023
,Monsta Athletics,23SPBYA1S,By You,5/23/2023
,Monsta Athletics,23SPBYA2T,By You,5/23/2023
,Monsta Athletics,23SPCBA2T,23 Cheddar Bomb,10/22/2023
,Monsta Athletics,23SPCBKA1S,The Comeback,5/27/2023
,Monsta Athletics,23SPCBKA1Z,The Comeback,5/27/2023
,Monsta Athletics,23SPCBKA2BS,The Comeback,5/27/2023
,Monsta Athletics,23SPDBA2BS,23 DB44,10/9/2023
,Monsta Athletics,23SPDBA2T,23 DB44,10/9/2023
,Monsta Athletics,23SPDHA2BS,Dark Horse,7/12/2023
,Monsta Athletics,23SPDHA2T,Dark Horse,7/12/2023
,Monsta Athletics,23SPDM82AT,23 Domin8,1/20/2024
,Monsta Athletics,23SPDTFA1S,DTF,2/15/2023
,Monsta Athletics,23SPDTFA2T,DTF,2/15/2023
,Monsta Athletics,23SPFULA2F,23 Fulcrum,1/20/2024
,Monsta Athletics,23SPFULA2T,23 Fulcrum,1/20/2024
,Monsta Athletics,23SPFULA2T,Fulcrum,7/9/2023
,Monsta Athletics,23SPKODA1S,23 King Of Diamonds,8/18/2023
,Monsta Athletics,23SPKODA2T,23 King Of Diamonds,8/18/2023
,Monsta Athletics,23SPMMIW2TRA,23 MMIW,10/22/2023
,Monsta Athletics,23SPMMIW2TRB,23MMIW,10/22/2023
,Monsta Athletics,23SPMVA1S,23 Monsta and Villians,10/22/2023
,Monsta Athletics,23SPMVA2T,23 Monstas and Villains,10/22/2023
,Monsta Athletics,23SPNWA2BS,23 No Wrappers,4/29/2024
,Monsta Athletics,23SPNWA2DC,23 No Wrappers,4/29/2024
,Monsta Athletics,23SPOMN2AT,23 Ominous,1/20/2024
,Monsta Athletics,23SPOMNA2BS,23 Ominous,1/20/2024
,Monsta Athletics,23SPPAA2F,23 Pride,1/20/2024
,Monsta Athletics,23SPPAA2T,23 Pride,1/20/2024
,Monsta Athletics,23SPPERA2T,Perserverance,7/12/2023
,Monsta Athletics,23SPRHA2T,23 Rhino RKC,10/22/2023
,Monsta Athletics,23SPSKA2F,KARMA,12/23/2022
,Monsta Athletics,23SPSKA2T,KARMA,12/23/2022
,Monsta Athletics,23SPSPDUA2F,SPIDER AC,6/1/2023
,Monsta Athletics,23SPSPDUA2T,SPIDERZ AC,6/1/2023
,Monsta Athletics,23SPT4HA1S,23 The 4 Horsemen,10/22/2023
,Monsta Athletics,23SPT4HA2BS,23 The 4 Horsemen,10/22/2023
,Monsta Athletics,23SPTMLA2BS,23 Team Landen,8/18/2022
,Monsta Athletics,23SPTMLA2T,23 Team Laden,8/18/2022
,Monsta Athletics,23SPTOMA2BS,23 Tomahawk,7/31/2023
,Monsta Athletics,23SPTOMA2TR,23 Tomahawk,7/31/2023
,Monsta Athletics,23SPUSA1KOD,23 Uncle Slam,8/18/2023
,Monsta Athletics,23SPUSA1KOD,23 Uncle Slam,10/22/2023
,Monsta Athletics,23SPUSA1S,23 Uncle Slam,8/18/2023
,Monsta Athletics,23SPUSA2BS,23Uncle Slam,8/18/2023
,Monsta Athletics,23SPUSA2F,23 Uncle Slam,8/18/2023
,Monsta Athletics,23SPUSA2KOD,23 Uncle Slam,8/18/2023
,Monsta Athletics,23SPUSA2KOD,23 Uncle Slam,10/22/2023
,Monsta Athletics,23SPUSA2T,23 Uncle Slam,8/18/2023
,Monsta Athletics,23SPWARA2T,23 War Ready,6/24/2024
,Monsta Athletics,24-SPFAT2,24-Fathlete,1/30/2025
,Monsta Athletics,24-SPFTA2,24 Fathlete,1/30/2025
,Monsta Athletics,24-SPPA2T,24 Prestige,1/30/2025
,Monsta Athletics,24FPFUL,24 FP Fulcrum,11/21/2023
,Monsta Athletics,24FPFUL,24 FP Fulcrum,1/20/2024
,Monsta Athletics,24FPTOR,24 FP TORCH,4/16/2025
,Monsta Athletics,24SP4TFA1S,24 4 THE FALLEN,11/11/2024
,Monsta Athletics,24SP4TFA2BS,24 4 THE FALLEN,10/2/2024
,Monsta Athletics,24SP4TFA2T,24 4 THE FALLEN,10/2/2024
,Monsta Athletics,24SPASA2F,24 ASANA,8/20/2024
,Monsta Athletics,24SPASA2T,24 ASANA,8/20/2024
,Monsta Athletics,24SPAT2,24 Torch,6/24/2024
,Monsta Athletics,24SPBAPA2BS,24 OATH,10/2/2024
,Monsta Athletics,24SPBAPA2T,24 OATH,10/2/2024
,Monsta Athletics,24SPBSA2,24 Black Sheep,9/6/2024
,Monsta Athletics,24SPCA2T,24 SURRENDER,11/11/2024
,Monsta Athletics,24SPCAA2T,24 Clack Addict,6/24/2024
,Monsta Athletics,24SPFTA2F,24 FIRE TORCH,10/14/2024
,Monsta Athletics,24SPFTA2T,24 FIRE TORCH,10/14/2024
,Monsta Athletics,24SPGTA2F,24 Goosetwon,8/14/2024
,Monsta Athletics,24SPGTA2T,24 Goosetown,8/14/2024
,Monsta Athletics,24SPITA2F,24 ICE TORCH,10/14/2024
,Monsta Athletics,24SPITA2T,24 ICE TORCH,10/14/2024
,Monsta Athletics,24SPKOD2A2,2024 King of Diamonds,12/22/2023
,Monsta Athletics,24SPKODA2,24 King of Diamonds,3/19/2024
,Monsta Athletics,24SPLEBA2T,24 Let'er Buck,4/8/2024
,Monsta Athletics,24SPLPA2T,24LP53,8/14/2024
,Monsta Athletics,24SPLPAT2,24LP53,8/14/2024
,Monsta Athletics,24SPMSA2T,24 Moonshot,8/14/2024
,Monsta Athletics,24SPOYA2F,24 OYATE,8/20/2024
,Monsta Athletics,24SPOYA2T,24 OYATE,8/20/2024
,Monsta Athletics,24SPPPA2BS,24 Premier Punch,9/6/2024
,Monsta Athletics,24SPPPA2T,24 Premier Punch,9/6/2024
,Monsta Athletics,24SPSASA2T,24 Sasto,4/8/2024
,Monsta Athletics,24SPSBA1,SB-1,12/22/2023
,Monsta Athletics,24SPSBA2,SB2,1/22/2024
,Monsta Athletics,24SPTA2,24 Torch,6/24/2024
,Monsta Athletics,24SPWDA2F,24 4TF WOODY,10/2/2024
,Monsta Athletics,24SPWDA2T,24 4TF WOODY,10/2/2024
,Monsta Athletics,24SPWTA2,24 WOODGRAIN TORCH,10/14/2024
,Monsta Athletics,24SPWTPA2T,24 We the People,8/14/2024
,Monsta Athletics,25FPFL2,25FPFL2,2/25/2025
,Monsta Athletics,25FPRMB2,25 ROW MY BOAT,1/27/2026
,Monsta Athletics,25FPTC2,25 FP TORCH,4/16/2025
,Monsta Athletics,25SPADCA1,1PC DISCOMBOBULATED,2/25/2025
,Monsta Athletics,25SPADCA2,2PC DISCOMBOBULATED,2/25/2025
,Monsta Athletics,25SPBPA2K,25 BLUEPRINT,1/27/2026
,Monsta Athletics,25SPBPA2T,25 BLUEPRINT,1/27/2026
,Monsta Athletics,25SPBSA2,EHP BLACK SHEEP,2/25/2025
,Monsta Athletics,25SPCLKA1S,EHP CLACK ADDICT 1 PC,3/4/2025
,Monsta Athletics,25SPCLKA2T,EHP CLACK ADDICT 2 PC,3/4/2025
,Monsta Athletics,25SPDB44A1T,DB44 1PC MX,2/25/2025
,Monsta Athletics,25SPDB44A2T,DB44 2 PC MX,3/4/2025
,Monsta Athletics,25SPEHPA2T,EHP TORCH,3/4/2025
,Monsta Athletics,25SPGNA1,GET NUTZ 1 PC MX,2/25/2025
,Monsta Athletics,25SPGNA2,GET NUTZ 2 PC MX,3/4/2025
,Monsta Athletics,25SPGNA2BS,GET NUTZ 2,2/25/2025
,Monsta Athletics,25SPHSA2,HELLSPAWN,2/25/2025
,Monsta Athletics,25SPINFA2K,25 INFRARED,1/27/2026
,Monsta Athletics,25SPKODA2,GOLD KOD,3/4/2025
,Monsta Athletics,25SPLAZA1,LAZER 1PC MX,2/25/2025
,Monsta Athletics,25SPLCLKA2T,EHP LADY CLACK,3/4/2025
,Monsta Athletics,25SPMQA2F,25 McQUADES,2/19/2026
,Monsta Athletics,25SPMQA2K,25 MCQUADES,2/19/2026
,Monsta Athletics,25SPMQA2T,25 McQUADES,2/19/2026
,Monsta Athletics,25SPRAAA1,1 PC ALLEGIANCE,2/25/2025
,Monsta Athletics,25SPRAAA2,2 PC ALLEGIANCE,3/4/2025
,Monsta Athletics,25SPRAFA1,1 PC FUEL,3/4/2025
,Monsta Athletics,25SPRAFA1,1 PC FUEL,2/25/2025
,Monsta Athletics,25SPSBA1,25 SB-1,2/19/2026
,Monsta Athletics,25SPSBA2,25 SB-2,2/19/2026
,Monsta Athletics,25SPTA1,1 PC MX TORCH,2/25/2025
,Monsta Athletics,25SPTA2,Torch,6/20/2024
,Monsta Athletics,25SPTBA2T,EHP THE BAT,3/4/2025
,Monsta Athletics,25SPTKOA2T,25 TKO TORCH,6/24/2025
,Monsta Athletics,25SPUSA1T,USA 1 PC TORCH,2/25/2025
,Monsta Athletics,25SPUSATA2,USA 2 PC TORCH,6/4/2025
,Monsta Athletics,25SPWTPA1T,WTP 1PC TORCH,2/25/2025
,Monsta Athletics,25SPWTPAT2,WTP 2PC TORCH,3/4/2025
,Monsta Athletics,26FPKIN1,KINETIK,12/2/2025
,Monsta Athletics,26SP212A,2-12,12/2/2025
,Monsta Athletics,26SPNEA2KOD,26 NO EVIL,2/19/2026
,Monsta Athletics,29SODSA1S,Dark Side,4/26/2021
,Monsta Athletics,29SODSA2F,Dark Side,4/26/2021
,Monsta Athletics,29SODSTA2,Dark Side,4/26/2021
,Monsta Athletics,Monsta,13SPM2A,2/18/2013
,Monsta Athletics,NEON1,Proton Series 2,7/9/2023
,Monsta Athletics,NEON2,Proton Series 2,7/9/2023
,Monsta Athletics,NEON2A,Proton Series 2,7/9/2023
,Monsta Athletics,NEON2B,Proton Series 2,7/9/2023
,Monsta Athletics,SP15DNALCA2,DNA,3/25/2015
,Monsta Athletics,SP18BA1,Bombardier,12/4/2017
,Monsta Athletics,SP21HYPEA2,2021 Hype,6/24/2021
,Monsta Athletics,SPTOMA2T,Tomahawk,11/5/2021
,Nike,Aero Athena,MeC15,8/19/2008
,Nike,Aero Athena Composite,,8/13/2008
,Nike,Aero Fuse,,8/19/2008
,Nike,Aero Launch,,8/19/2008
,Nike,AIR MAX THRUST ScX,,8/13/2008
,Nike,Athena,Orange & Silver,11/6/2008
,Nike,Athena Comp,,8/13/2008
,Nike,Athena MW,,8/13/2008
,Nike,Athena SW,,8/13/2008
,Nike,Bomber FP,,8/19/2008
,Nike,Bomber SP,,8/19/2008
,Nike,El Loco FP,,8/19/2008
,Nike,Fire FP,,8/19/2008
,Nike,HAWK FP,,8/19/2008
,Nike,HAWK SP,,8/19/2008
,Nike,Ignitor FP,,8/19/2008
,Nike,Ignitor SP,,8/19/2008
,Nike,Imara,,8/19/2008
,Nike,Imara,7050,8/19/2008
,Nike,KAOS FP,,8/19/2008
,Nike,KAOS SP,,8/19/2008
,Nike,Keystone FP,,8/19/2008
,Nike,Keystone Gold FP,,8/13/2008
,Nike,Keystone Gold SP,,8/13/2008
,Nike,Keystone SP,,8/19/2008
,Nike,MX5 Fastpitch,,8/13/2008
,Nike,Show FP,,8/19/2008
,Nike,Show SP,,8/19/2008
,Nike,Surge SP,,8/19/2008
,Nike,Venom,,8/19/2008
,Nokona,Nokona Renegade Slowpitch,,8/13/2008
,Nokona,Renegade FPX,,8/13/2008
,Proton Sports,ARCTIC1,AtomCam,6/10/2024
,Proton Sports,bcama,Buttercam,1/30/2025
,Proton Sports,BIGJON2A,Big Jon Series 3,1/30/2025
,Proton Sports,HB1A,Hot Butter,9/7/2023
,Proton Sports,HBAD-A,Hot Butter After Dark,9/12/2024
,Proton Sports,HOHO-A,The HO HO Butter,6/10/2024
,Proton Sports,Legacy 3A,Legacy,1/6/2026
,Proton Sports,NEON 2,Refer to Monsta approved list,9/7/2023
,Proton Sports,Neon A1,Neon Series 3,2/13/2026
,Proton Sports,Neon A2,Neon series 3,2/13/2026
,Proton Sports,NEON1,Refer to Monsta approved list,9/7/2023
,Proton Sports,NEON2A,Refer Monsta approved List,9/7/2023
,Proton Sports,NEON2B,Refer Monsta Approved List,9/7/2023
,Proton Sports,RunnerA,Project Roadrunner,4/16/2025
,Proton Sports,Smith USA,Proton Smith,3/24/2023
,Proton Sports,TTL98,To The Limit,1/6/2026
,Pure,M307-6032,GS Sports USA - Mystic Custom Sidewinder,8/28/2025
,Pure,M-3C7,Pure Siteman Pinkout ASA,6/1/2024
,Pure,M1A4-5533,Lambright USA,8/28/2025
,Pure,M1A4-6108,Custom Lambright,8/28/2025
,Pure,M307,Sidewinder,5/20/2024
,Pure,M307-4907,4907 Evil Sports Cartoon Devil-Blanaced,5/20/2024
,Pure,M307-4909,4909 Evil Sports Cartoon Devil Evil Load,5/20/2024
,Pure,M307-5679,Black Autism Custom Sidewinder,8/28/2025
,Pure,M307-6049,S43739 - Sidewinder Custom,8/28/2025
,Pure,M307-6050,S43740 - Custom Sidewinder,8/28/2025
,Pure,M307-6053,S43738 - Custom Sidewinder - Revolution,8/28/2025
,Pure,M307-6064,S43738 - Custom Sidewinder - Revolution,8/28/2025
,Pure,M307-6075,Custom Sidewinder,8/28/2025
,Pure,M307-6076,"SIDEWINDER Bombing 12""",8/28/2025
,Pure,M307-6084,Goated Custom Sidewinder,8/28/2025
,Pure,M307-6086,"Arlis Miller Signature 12"" RoofX",8/28/2025
,Pure,M307-6087,"Kyle Miller Signature 12"" RoofX",8/28/2025
,Pure,M307-6088,"Joey Miller Signature 12"" RoofX",8/28/2025
,Pure,M307-6089,"JoJo Bennett Signature 12"" RoofX",8/28/2025
,Pure,M307-6100,Sidewinder Custom Border Battle Bats,8/28/2025
,Pure,M307-6110,Custom Sidewinder,8/28/2025
,Pure,M307-6111,Sidewinder Northrup Grumman,8/28/2025
,Pure,M369-5055,Pure Siteman Pinkout ASA,5/20/2024
,Pure,M47E-5669,Custom Javelin-S43124,8/28/2025
,Pure,M4E9,Ripp3r,4/21/2023
,Pure,M4E9-4939,LP Ripper ASA-Green/Yellow Flames,5/20/2024
,Pure,M4E9-5007,LP Joker Ripper,5/20/2024
,Pure,M4E9-5007,LP Joker Ripper,7/18/2024
,Pure,M565,Hell Fire,10/6/2022
,Pure,M565-1,JERICHO,4/22/2023
,Pure,M565-3503,Hellfire Stock,5/20/2024
,Pure,M565-4521,NAGAAA New Orleans ASA,5/20/2024
,Pure,M565-4793,Revolution Athletics Hellfire,5/20/2024
,Pure,M565-4999,LP USA Themed Ripper,5/20/2024
,Pure,M565-5087,Blue Pearl-Limited Edition Hellfire,5/20/2024
,Pure,M565-5131,Puple Pearl-Limited Edition Hellfire,5/20/2024
,Pure,M565-5151,Halloween Friday 13th - Hellfire,5/20/2024
,Pure,M565-5167,Order 34082 Custom Helfire,5/20/2024
,Pure,M565-5197,Fathlete Hellfire,5/20/2024
,Pure,M565-5203,Custom Hellfire,8/28/2025
,Pure,M565-5209,Order 34502-Customer Hellfire,5/20/2024
,Pure,M565-5223,Sand Mantee Hellfire,5/20/2024
,Pure,M565-5225,Special Flake Color,5/20/2024
,Pure,M565-5273,Order 34052-Custom Hellfire Blue Ballers,5/20/2024
,Pure,M565-5275,Kraken Hellfire,6/1/2024
,Pure,M565-5293,Toner Hellfire Custom w/ #2,5/20/2024
,Pure,M565-5295,Toner Hellfire Custom w/#24,5/20/2024
,Pure,M565-5297,Toner Hellfire w/#19,5/20/2024
,Pure,M565-5341,Sugar Skull Hellfire,6/1/2024
,Pure,M565-5353,Order 36792 - Custom MS Hellfire,6/1/2024
,Pure,M565-5421,37073 - Custom Hellfire,6/1/2024
,Pure,M565-5421,NAGAAA New Orleans,5/20/2024
,Pure,M565-5423,37074 - Custom Hellfire,6/1/2024
,Pure,M565-6010,S43399 - Custom Hellfire,8/28/2025
,Pure,M565-6016,S43399 - Custom Hellfire,8/28/2025
,Pure,M565-6038,S43653 - Custom Hellfire,8/28/2025
,Pure,M565-6052,Hellfire,8/28/2025
,Pure,M565-6059,S43775 - Hellfire Custom,8/28/2025
,Pure,M565-6077,"Kylee Studioso - Revival 13""",8/28/2025
,Pure,M565-6090,Hellfire,8/28/2025
,Pure,M565-6101,Hellfire Custom Border Battle Bat for PKC,8/28/2025
,Pure,M565-6116,Orange/Pink Hellfire,8/28/2025
,Pure,M784,Sidewinder,5/20/2024
,Pure,M83-5431,Paul Laney Tournament,5/20/2024
,Pure,M91B-5147,2024 Storm Shadow ASA Stock Bat,5/20/2024
,Pure,M91B-6070,2024 Storm Shadow USA NL Stock 13in,8/28/2025
,Pure,MA55,Javelin,11/25/2022
,Pure,MA66-5089,Blue Pearl - Limited Edition Skybolt,6/1/2024
,Pure,MA66-5129,Purple Pearl - Limited Edition Skybolt,6/1/2024
,Pure,MA66-5161,Halloween Skybolt,6/1/2024
,Pure,MA6C-5153,Halloween Skybolt,6/1/2024
,Pure,MA6C-5193,2024 Skybolt Stock,5/20/2024
,Pure,MA6C-5347,2024 Skybolt stock Version 1,5/20/2024
,Pure,MB69-5575,Ervine USA Bat,8/28/2025
,Pure,MB69-6097,USA Ervine 12in SP Bat,8/28/2025
,Pure,MB69-6117,Custom Ervine,8/28/2025
,Pure,ME-83-5411,Lighting Effect Custom Hellfire,7/18/2024
,Pure,ME83-5135,2024 Hellfire Stcok,5/20/2024
,Pure,ME83-5275,Kraken Hellfire,5/20/2024
,Pure,ME83-5353,Custom MS Hellfire,7/18/2024
,Pure,ME83-5353,Order 36792 - Custom MS Hellfire,5/20/2024
,Pure,ME83-5353,Sugar Skull Hellfire,5/20/2024
,Pure,ME83-5409,KW Blue Hellfire,7/18/2024
,Pure,ME83-5411,Lighting Effect Custom Hellfire,5/20/2024
,Pure,ME83-5415,TT Hellfire,7/18/2024
,Pure,ME83-5421,37073-Custom Hellfire,5/20/2024
,Pure,ME83-5421,Custom Weekend Warriors Hellfire,7/18/2024
,Pure,ME83-5423,37074-Custom Hellfire-KW Blue,5/20/2024
,Pure,ME83-5423,Custom KW Blue Hellfire,7/18/2024
,Pure,ME83-5431,Rise Up Paul Laney Tournament SE,6/1/2024
,Pure,MFE6-5089,Blue Pearl Limited Edition Skybolt,5/20/2024
,Pure,MFE6-5129,Purple Pearl-Limited Edition Skybolt,5/20/2024
,Pure,MFE6-5153,Halloween Friday 13th Skybolt,5/20/2024
,Pure,MFE6-5161,Halloween Elm Skybolt,5/20/2024
,Pure,MFE6-5161,Haloween Friday 13 Skybolt,5/20/2024
,Pure,MZX7,EVIL,4/22/2023
,Pure,MZX8-4907,Sidewinder 4907 - Evil Sports - Blanace,6/1/2024
,Pure,MZX8-4909,Sidewinder 4909 - Evil Sports - Evile Load,6/1/2024
,Pure,MZX8-6106,SIDEWINDER White Evil Cartoon Diablo,8/28/2025
,Rawlings,COL3MP10,Mantra Plus -10,2/6/2023
,Rawlings,COL3MP9,Mantra Plus -9,2/6/2023
,Rawlings,COL3MPEL10,Montra Plus -10,2/6/2023
,Rawlings,COL3MPEL9,Mantra Plus-9,2/6/2023
,Rawlings,ELT350,,9/9/2008
,Rawlings,ELT750,,8/14/2008
,Rawlings,FP1,FP1EDG,9/9/2008
,Rawlings,FP1050,Elite,8/14/2008
,Rawlings,FP1AM,,8/14/2008
,Rawlings,FP1AM2,,8/14/2008
,Rawlings,FP1AM3,,8/14/2008
,Rawlings,FP1M10,Mantra -10,2/17/2020
,Rawlings,FP1M9,Mantra -9,2/17/2020
,Rawlings,FP1P10,Quatro Pro -10,3/25/2020
,Rawlings,FP1P11,Quatro Pro -11,3/25/2020
,Rawlings,FP1P9,Quatro Pro -9,3/25/2020
,Rawlings,FP21AF,,9/9/2008
,Rawlings,FP21AF,Amanda Freed,8/14/2008
,Rawlings,FP2AF,,9/9/2008
,Rawlings,FP2D12,Storm,4/1/2021
,Rawlings,FP2E12,Eclipse,3/4/2021
,Rawlings,FP2O11,Ombre,3/4/2021
,Rawlings,FP2S13,Storm,3/4/2021
,Rawlings,FP3,,8/14/2008
,Rawlings,FP31AF,,8/14/2008
,Rawlings,FP31AF,Amanda Freed,8/14/2008
,Rawlings,FP3A13,Aspire,7/1/2022
,Rawlings,FP3AF,,9/9/2008
,Rawlings,FP3E12,Eclipse,7/1/2022
,Rawlings,FP3S13,Storm,7/1/2022
,Rawlings,FP4P10,Proto Composite Tech,10/22/2023
,Rawlings,FP550AF,,9/9/2008
